name,imdb_name,imdb_rate,imdb_ppl,storyline
Frozen, Frozen (I) (2013) ,7.4,598K,"Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven and sets off on an epic journey to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Elsa looks poised, regal and reserved, but in reality she lives in fear as she wrestles with a mighty secret: she was born with the power to create ice and snow. It's a beautiful ability, but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna, Elsa has isolated herself, spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic, accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one, not even her sister, can help her. —DeAlan Wilson for ComedyE.com"
Shaun of the Dead, Shaun of the Dead (2004) ,7.9,536K,"Shaun (Simon Pegg) doesn't have a very good day, so he decides to turn his life around by getting his ex to take him back, but he times it for right in the middle of what may be a zombie apocalypse. But for him, it's an opportunity to show everyone he knows how useful he is by saving them all. All he has to do is survive, and get his ex back. —Infest0125"
Shame, Shame (2011) ,7.2,191K,"Brandon is a 30-something man living in New York who is unable to manage his sex life. After his wayward younger sister moves into his apartment, Brandon's world spirals out of control. Shame examines the nature of need, how we live our lives and the experiences that shape us. —Momentum Pictures"
Head-On, Head-On (2004) ,7.9,53K,"In 'Gegen die Wand' Cahit, a 40-something male from Mersin in Turkey has removed everything Turkish from his life. He has become an alcoholic drug addict and at the start of the movie wants to end it all. Sibel a 20-something female from Hamburg wishes to please her Turkish parents yet yearns for freedom. She has had her nose broken by her brother for being seen holding hands with a boy and yet she can not break her mother's heart and run away. She too attempts suicide and she first approaches Cahit there at the Hospital. Sibel asks Cahit to marry her, as she believes this to be the way out of her parent's house. She promises Cahit that their relationship will be like roommates, not like a married couple. The film follows Sibel and Cahit as they get married, become closer and eventually fall in love. —Serena P."
Sideways, Sideways (2004) ,7.5,187K,"A week before his friend Jack is to be married, best man Miles and the prospective groom head off to wine country for a week of fun, relaxation and - of course - wine drinking. Miles is the oenophile and does his best to teach Jack a bit about the art of appreciating great wine. All Jack cares about is drinking and carousing, something he accomplishes when he meets the attractive Stephanie at one of the vineyards. Miles is something of a sad sack, a high school English teacher who is a failed writer at heart. He has yet to get over the fact that his wife has divorced him and that she has remarried and he now faces that nerve racking wait for word from a prospective publisher. Miles has an opportunity to start anew when he meets Stephanie's friend Maya but when he let's slip that Jack is about to be married any hope of a relationship seems to be lost. —garykmcd"
Dogville, Dogville (2003) ,8.0,145K,"Late one night, a beautiful and well-dressed young woman, Grace (Nicole Kidman), arrives in the mountainous old mining town of Dogville as a fugitive; following the sound of gunshots in the distance which have been heard by Tom (Paul Bettany), the self-appointed moral spokesman for the town. Persuaded by Tom, the town agree to hide Grace, and in return she freely helps the locals. However, when the Sheriff from a neighbouring town posts a Missing notice, advertising a reward for revealing her whereabouts, the townsfolk require a better deal from Grace, in return for their silence; and when the Sheriff returns some weeks later with a Wanted poster, even though the citizens know her to be innocent of the false charges against her, the town's sense of goodness takes a sinister turn and the price of Grace's freedom becomes a workload and treatment akin to that of a slave. But Grace has a deadly secret that the townsfolk will eventually encounter. —Neil Hillman."
Short Term 12, Short Term 12 (2013) ,8.0,86K,"At a foster-care facility for at-risk teenagers, Grace is a young counselor trying to do her best for kids who often have been pulled from the worst kinds of home situations. Even then, life is not easy as Grace and her colleagues care for kids who are too often profoundly scarred, even as they try to have lives of their own. Now, things are coming to a head as Grace readies for marriage even as some her charges are coming to major turning points in their lives. To cope, Grace will have to make difficult perceptions and decisions that could put her career, and more importantly her charges, at dire risk. —Kenneth Chisholm (kchishol@rogers.com)"
Blue Valentine, Blue Valentine (2010) ,7.3,192K,"Dean Pereira and Cindy Heller Pereira are a young, working class married couple - Dean currently working as a painter, and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie. Despite their relatively tender ages, they are both ravaged by the life they've eked out together and by the experiences they've had leading into their marriage. Dean, a high school drop out, comes from a broken home, where he never really had a mother figure. He never saw himself getting married or having a family despite falling in love at first sight with Cindy. He doesn't have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 o'clock in the morning without it affecting his work - although Cindy believes he has so much more potential in life. Cindy also comes from a dysfunctional family, with her own mother and father not setting an example of a harmonious married or family life. One of her previous serious relationships was with Bobby Ontario, that relationship which has a profound affect on many aspects of her marriage to Dean. Dean and Cindy head off on an overnight getaway together without Frankie, the getaway which may provide a clearer picture if their marriage can survive its many issues. —Huggo"
The Squid and the Whale, The Squid and the Whale (2005) ,7.3,82K,"In 1986, In Brooklyn, New York, the dysfunctional family of pseudo intellectuals composed by the university professor Bernard and the prominent writer Joan split. Bernard is a selfish, cheap and jealous decadent writer that rationalizes every attitude in his family and life and does not accept ""philistines"" - people that do not read books or watch movies, while the unfaithful Joan is growing as a writer and has no problems with ""philistines"". Their sons, the teenager Walt and the boy Frank, feel the separation and take side: Walt stays with Bernard, and Frank with Joan, and both are affected with abnormal behaviors. Frank drinks booze and smears with sperm the books in the library and a locker in the dress room of his school. The messed-up and insecure Walt uses Roger Water's song ""Hey You"" in a festival as if it was of his own, and breaks up with his girlfriend Sophie. Meanwhile Joan has an affair with Frank's tennis teacher Ivan and Bernard with his student Lili. —Claudio Carvalho, Rio de Janeiro, Brazil"
Jersey Boys, Jersey Boys (2014) ,6.8,34K,"This movie is a musical biography of the Four Seasons, the rise, the tough times and personal clashes, and the ultimate triumph of a group of friends whose music became symbolic of a generation. Far from a mere tribute concert (though it does include numbers from the popular Four Seasons songbook), this movie gets to the heart of the relationships at the center of the group, with a special focus on frontman Frankie Valli (John Lloyd Young), the small kid with the big falsetto. In addition to following the quartet's coming-of-age as performers, the core of this movie is how an allegiance to a code of honor learned in the streets of their native New Jersey got them through a multitude of challenges: gambling debts, Mafia threats, and family disasters. This movie is a glimpse at the people behind a sound that has managed to endure for over four decades in the hearts of the public. —Broadway.com"
Nine Queens, Nine Queens (2000) ,7.9,52K,"Early one morning, Marcos observes Juan successfully pulling off a bill-changing scam on a cashier, and then getting caught as he attempts to pull the same trick on the next shift. Marcos steps in, claiming to be a policeman, and drags Juan out of the store. Once they are back on the street, Marcos reveals himself to be a fellow swindler with a game of much higher stakes in mind, and he invites Juan to be his partner in crime. A once-in-a-lifetime scheme seemingly falls into their laps - an old-time con man enlists them to sell a forged set of extremely valuable rare stamps, The Nine Queens. The tricky negotiations that ensue bring into the picture a cast of suspicious characters, including Marcos' sister Valeria, their younger brother Federico and a slew of thieves, conmen and pickpockets. As the deceptions mount, it becomes more and more difficult to figure out who is conning whom. —Farsante"
Mia Madre," Ma mère (2004) aka ""Mia Madre"" ",5.1,6.8K,"Pierre, a youth, comes from his grandmother's in France to stay with his parents in the Canary Islands. His father talks oddly about his lost youth and leaves abruptly for France. Mom promises to take Pierre to a nightclub, remarking that people will think he's her lover. He prays. His father dies in France, and his mother wants him to empty his father's office; Pierre finds it full of pornography. His mother takes him in tow into a night world without morality, a world of sexual exploitation, exhibitionism, and wildness. What will Pierre make of this, and what, ultimately, will he make of his mother? —<jhailey@hotmail.com>"
"Right Now, Wrong Then"," Right Now, Wrong Then (2015) ",7.2,4.1K,"Quite by accident, a film director arrives in town a day early. With time to kill before his lecture the next day, he stops by a restored, old palace and meets a fledgling artist. She's never seen any of his films, but knows he's famous. They talk. And together, they go to her workshop to look at her paintings, have Sushi and Soju. More conversation follows, and drinks, and then an awkward get-together with friends where all sorts of secrets are revealed. All the while, they may or may not be falling for each other. Then, quite unexpectedly, we begin again, but now things appear somewhat different."
Adventureland, Adventureland (2009) ,6.8,157K,"In 1987, James Brennan's dreams of a summer European tour before studying at an Ivy League school in New York City are ruined after his parents have a severe career setback. As a result, James must get a summer job to cover his upcoming expenses at the decrepit local amusement park, Adventureland, where he falls in love with a witty co-worker, Emily Lewin. In that bizarrely shady workplace, the young carnies have unforgettable and painful learning experiences about life, love and trust while James discovers what he truly values. —Kenneth Chisholm (kchishol@rogers.com)"
Open Range, Open Range (2003) ,7.4,70K,"Charlie and Boss Spearman did not want further violence after they beat some Lawmen thugs in Jungle plot twisted when Mose was Killed And Button was shot (Survived) after that Charlie and Boss Spearman went for revenge, Although dispute started when Mose free-grazed cattle In Town."
Profit Motive and the Whispering Wind, Profit Motive and the Whispering Wind (2007) ,6.4,298,"A visual meditation on the progressive history of the United States as seen through cemeteries, historic plaques and markers. Inspired by Howard Zinn's ""A People's History of the United States""."
In Jackson Heights, In Jackson Heights (2015) ,7.2,627,"Jackson Heights, Queens, New York City is one of the most ethnically and culturally diverse communities in the United States and the world. There are immigrants from every country in South America, Mexico, Bangladesh, Pakistan, Afghanistan, India and China. Some are citizens, some have green cards, some are without documents. The people who live in Jackson Heights, in their cultural, racial and ethnic diversity, are representative of the new wave of immigrants to America. 167 languages are spoken in Jackson Heights. Some of the issues the film raises-assimilation, integration, immigration and cultural and religious differences-are common to all the major cities of the Western world. The subject of the film is the daily life of the people in this community-their businesses, community centers, religions, and political, cultural and social lives-and the conflict between maintaining ties to traditions of the countries of origin and the need to learn and adapt to American ways and values. This is Frederick Wiseman's third film about communities, the others being ASPEN and BELFAST, MAINE. In these films, as in all his films, he is trying to present a broad and complex portrait of contemporary life. —Zipporah Films"
Love Exposure, Love Exposure (2008) ,8.1,13K,"Three emotionally abused people from the fringes of society get locked in a convoluted love triangle. Yuu, a Catholic boy searching for true love ends up taking erotic photographs of women in public until he discovers Yoko, whom he sees as his Virgin Mary. Yoko, an antifamily, misandristic girl finds that her foster mother will be marrying Yuu's father. Koike, an ""original sinner"", coordinates a plan to convert Yuu's family to her cult. Under her careful direction, their lives come crashing together in one fateful street fight. —Anonymous"
Sicario, Sicario (2015) ,7.6,404K,"When drug violence worsens on the USA Mexico border, the FBI sends an idealistic agent, Kate Macer (Emily Blunt) on a mission to eradicate a drug cartel responsible for a bomb that had killed members of her team. —Gusde"
No, No (I) (2012) ,7.4,24K,"Military dictator Augusto Pinochet calls for a referendum to decide his permanence in power in 1988, the leaders of the opposition persuade a young daring advertising executive - René Saavedra - to head their campaign. With limited resources and under the constant scrutiny of the despot's watchmen, Saavedra and his team conceive of a bold plan to win the election and free their country from oppression. —FICV"
Whiplash, Whiplash (2014) ,8.5,777K,"Nineteen year old Andrew Niemann wants to be the greatest jazz drummer in the world, in a league with Buddy Rich. This goal is despite not coming from a pedigree of greatest, musical or otherwise, with Jim, his high school teacher father, being a failed writer. Andrew is starting his first year at Shaffer Conservatory of Music, the best music school in the United States. At Shaffer, being the best means being accepted to study under Terence Fletcher and being asked to play in his studio band, which represents the school at jazz competitions. Based on their less than positive first meeting, Andrew is surprised that Fletcher asks him to join the band, albeit in the alternate drummer position which he is more than happy to do initially. Andrew quickly learns that Fletcher operates on fear and intimidation, never settling for what he considers less than the best each and every time. Being the best in Fletcher's mind does not only entail playing well, but knowing that you're playing well and if not what you're doing wrong. His modus operandi creates an atmosphere of fear and of every man or woman for him/herself within the band. Regardless, Andrew works hard to be the best. He has to figure out his life priorities and what he is willing to sacrifice to be the best. The other question becomes how much emotional abuse he will endure by Fletcher to reach that greatness, which he may believe he can only achieve with the avenues opened up by Fletcher. —Huggo"
Animal Kingdom, Animal Kingdom (2016) (TV Series) ,8.2,32K,"The series centers on 17-year-old Joshua ""J"" Cody, who moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family."
Apocalypto, Apocalypto (2006) ,7.8,302K,"In the Maya civilization, a peaceful tribe is brutally attacked by warriors seeking slaves and human beings for sacrifice for their gods. Jaguar Paw hides his pregnant wife and his son in a deep hole nearby their tribe and is captured while fighting with his people. An eclipse spares his life from the sacrifice and later he has to fight to survive and save his beloved family. —Claudio Carvalho, Rio de Janeiro, Brazil"
Three Monkeys, Three Monkeys (2008) ,7.3,21K,"Near the Bosporus, Eyüp and Hacer live in a modest flat with their son Ismail, in his twenties, who's doing poorly in his studies. Few words pass between them, and a past family tragedy brings sorrow daily. On a rainy night, Eyüp's boss Servet, a wealthy businessman who's entering politics, hits a pedestrian on a lonely road. He drives off and offers money to Eyüp if Eyüp will take the fall - probably a six-month sentence. Eyüp agrees, and while he's in prison, Ismail wants his mother to ask Servet for enough money to buy a car. Servet, in turn, desires Hacer. How can this play out? —<jhailey@hotmail.com>"
Listen to Me Marlon, Listen to Me Marlon (2015) ,8.2,7.4K,"With exclusive access to his extraordinary unseen and unheard personal archive including hundreds of hours of audio recorded over the course of his life, this is the definitive Marlon Brando cinema documentary. Charting his exceptional career as an actor and his extraordinary life away from the stage and screen with Brando himself as your guide, the film will fully explore the complexities of the man by telling the story uniquely from Marlon's perspective, entirely in his own voice. No talking heads, no interviewees, just Brando on Brando and life."
Talladega Nights: The Ballad of Ricky Bobby, Talladega Nights: The Ballad of Ricky Bobby (2006) ,6.6,177K,"NASCAR stock car racing sensation Ricky Bobby is a national hero because of his ""win at all costs"" approach. He and his loyal racing partner, childhood friend Cal Naughton Jr., are a fearless duo -- ""Shake"" and ""Bake"" by their fans for their ability to finish so many races in the #1 and #2 positions, with Cal always in second place. When flamboyant French Formula One driver Jean Girard challenges ""Shake"" and ""Bake"" for the supremacy of NASCAR, Ricky Bobby must face his own demons and fight Girard for the right to be known as racing's top driver. —CartmanKun@aol.com"
Centochiodi, Centochiodi (2007) ,6.4,752,"An Italian professor seeks refuge in the quiet, peaceful ruins of an old building."
United 93, United 93 (2006) ,7.6,104K,"On September 11, 2001, two American Airlines and two United Airlines domestic U.S. flights are hijacked by terrorists. After the collision of two planes against the World Trade Center and one against the Pentagon, the passengers and crew of United Flight 93 decide to struggle against the four terrorists to take back the control of the airplane. —Claudio Carvalho, Rio de Janeiro, Brazil"
Bridesmaids, Bridesmaids (I) (2011) ,6.8,283K,"Annie (Kristen Wiig), is a maid of honor whose life unravels as she leads her best friend, Lillian (Maya Rudolph), and a group of colorful bridesmaids (Rose Byrne, Melissa McCarthy, Wendi McLendon-Covey and Ellie Kemper) on a wild ride down the road to matrimony. Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she'll show Lillian and her bridesmaids just how far you'll go for someone you love. —Anonymous"
The Look of Silence, The Look of Silence (2014) ,8.3,13K,"An Indonesian man with a communist background named Ramli was brutally murdered when the ""Communist"" purge occurred in 1965. His remaining family members lived in fear and silence until the making of this documentary. Adi, a brother of his, decided to revisit the horrific incident and visited the men who were responsible for the killings and one survivor of the purge. These meetings uncovered sadistic details of the murders and exposed raw emotions and reactions of the killers' family members about what happened in the past - much to Adi's disappointment."
Punch-Drunk Love, Punch-Drunk Love (2002) ,7.3,157K,"Barry Egan hates himself and hates his life. The only male among eight siblings, Barry is treated poorly by his overbearing sisters. Despite owning his own business, he has gotten nowhere in life largely because of his insecurities. He leads a solitary life, which allows him to hide his violent outbursts that occur when he's frustrated. His solitude however allows him to think, he stumbling upon a scheme to travel the world on a pittance, travel which he has never done. Concurrently, he meets two people who pull him in two different directions. The first is Lena Leonard, a friend of his sister Elizabeth. Barry is slow to realize that Lena is attracted to him, he making her make all the first moves. Lena is eventually able to get Barry out of his shell, she who sticks around despite his obvious problems. His burgeoning relationship and thus new life with Lena is threatened by the second, ""Georgia"", who he contacted in an effort to alleviate his loneliness. Georgia and her ""band of brothers"" do whatever they can get get out of Barry what they want, no matter the price to Barry. —Huggo"
We Need to Talk About Kevin, We Need to Talk About Kevin (2011) ,7.5,147K,"Eva's a mother trying to piece together her life following an incident caused by her odd child, Kevin. Once a successful writer, she's forced to take whatever comes her way, in spite of the increasingly bizarre and dangerous things Kevin says, or does. —Huggo"
Chuck & Buck, Chuck (2007) (TV Series) ,8.2,133K,"Since geeky Chuck accidentally became the mental host of the Intersect, an unprecedentedly powerful computer mind containing all information available to the US government, he's a primordial national security asset and risk. So CIA and NSA each appoint a top agent to guard Chuck, and often get involved with him in spy adventures. Meanwhile his identity must be kept secret from Chuck's sister, her perfect partner Devon, both surgeons, and Chuck's goofy colleagues in Buy More, the Burbank electronics store where he works as a cover. —KGF Vissers"
Gladiator, Gladiator (2000) ,8.5,1.4M,"Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge. —Chris ""Morphy"" Terry"
The Century of the Self, The Century of the Self (2002) (TV Mini Series) ,8.8,5.7K,A documentary about the rise of psychoanalysis as a powerful means of persuasion for both governments and corporations.
Munich, Munich: The Edge of War (2021) ,7.8,44,"Based on the international bestseller by Robert Harris. It is Autumn 1938 and Europe stands on the brink of war. Adolf Hitler is preparing to invade Czechoslovakia and Neville Chamberlain's government desperately seeks a peaceful solution. With the pressure building, Hugh Legat, British civil servant, and Paul von Hartmann, German diplomat, travel to Munich for the emergency Conference. As negotiations begin, the two old friends find themselves at the center of a web of political subterfuge and very real danger. —Netflix"
Lilya 4-Ever, Lilya 4-Ever (2002) ,7.8,45K,"While waiting for her mothers reply to take her to the USA, Lilya idles the time away smoking, drinking and having fun with her, too, outcast friend Volodya. In time, the chance of a new life becomes non-existent; her life is going nowhere. Meeting a young man, she then finds a plane ticket in her hand and a new life in Sweden: a job, an apartment and prospects. All is not what it seems. There shall be work, there shall be housing and there shall be no escape. This is the stark, frank and disturbing vision of the life of a young victim of the underground sex trade and in all its tone of realism of abject poverty, despicable actions and of wanting to show that dreaming of a better life is not a crime but that life can shatter the illusion of a happy ending. —Cinema_Fan"
Femme Fatale, Femme Fatale (2002) ,6.2,35K,"The thief Laurie Ash steals the expensive diamond jewel called 'Eye of the Serpent' in an audacious heist during an exhibition in Cannes 2001 Festival. She double-crosses her partners and is mistakenly taken as Lily, a woman who lost her husband and son in an accident and is missing since then, by an ordinary family. One day, while having bath in Lily's bathtub, Lily comes back home and commits suicide. Laurie assumes definitely Lily's identity, goes to America where she marries a rich man, who becomes the Ambassador of USA in France. When Laurie returns to France, her past haunts her. —Claudio Carvalho, Rio de Janeiro, Brazil"
This Is Not a Film, This Is Not a Film (2011) ,7.4,5.2K,"It's been months since Jafar Panahi, stuck in jail, has been awaiting a verdict by the appeals court. By depicting a day in his life, Panahi and Mojtaba Mirtahmasb try to portray the deprivations looming in contemporary Iranian cinema."
Two Lovers, Two Lovers (2008) ,7.0,39K,"Leonard Kraditor is a burned-out case, living with his immigrant parents after his fiancée left him, helping out at their Brooklyn dry cleaners, taking photographs, at loose ends, suicidal. In quick succession, he meets two women: Sandra, the daughter of his parents' business associates, frank, direct, sensual, Jewish like Leonard; and, his neighbor Michelle, mercurial, rootless, fun, blond, unattainable. Michelle is in love with a married man and cries on Leonard's shoulder; Sandra wants to save him. Is Leonard willing to risk losing Sandra's fidelity for the moments Michelle's moods swing toward him? Can this end well? —<jhailey@hotmail.com>"
Heart of a Dog, Heart of a Dog (1988) (TV Movie) ,8.7,7.5K,"In the wake of the Russian revolution, a starving dog is rescued from the streets of Moscow by a cultivated professor. The professor experiments on the dog, who soon begins to transform into a man. The Bolsheviks downstairs are pleased: after all, those who live lives fit for dogs deserve better. Yet how will the professor cope with this strange animal? Is it still possible to keep him on a leash? Or will he bite? —Lisa Feklistova"
The Lives of Others, The Lives of Others (2006) ,8.4,376K,"Gerd Wiesler is an officer with the Stasi, the East German secret police. The film begins in 1984 when Wiesler attends a play written by Georg Dreyman, who is considered by many to be the ultimate example of the loyal citizen. Wiesler has a gut feeling that Dreyman can't be as ideal as he seems, and believes surveillance is called for. The Minister of Culture agrees but only later does Wiesler learn that the Minister sees Dreyman as a rival and lusts after his partner Christa-Maria. The more time he spends listening in on them, the more he comes to care about them. The once rigid Stasi officer begins to intervene in their lives, in a positive way, protecting them whenever possible. Eventually, Wiesler's activities catch up to him and while there is no proof of wrongdoing, he finds himself in menial jobs - until the unbelievable happens. —garykmcd"
Werckmeister Harmonies, Werckmeister Harmonies (2000) ,8.1,14K,"This story takes place in a small town on the Hungarian Plain. In a provincial town, which is surrounded with nothing else but frost. It is bitterly cold weather - without snow. Even in this bewildered cold hundreds of people are standing around the circus trailer, which is put up in the main square, to see - as the outcome of their wait - the chief attraction, the stuffed carcass of a real whale. The people are coming from everywhere. From the neighboring settlings, even from quite far away parts of the country. They are following this clumsy monster as a dumb, faceless, rag-wearing crowd. This strange state of affairs - the appearance of the foreigners, the extreme frost - disturbs the order of the small town. Aambitious personages of the story feel they can take advantage of this situation. The tension growing to the unbearable is brought to explosion by the figure of the Prince, who is pretending facelessness. Even his mere appearance is enough to break loose destructive emotions... —Anonymous"
White Material,NaN,NaN,NaN,NaN
Stranger by the Lake, Stranger by the Lake (2013) ,6.9,14K,"Franck, a fit gay man, seeks love at a lakeside gay cruising beach. Among the mostly pudgy nude sunbathers, he befriends Henri, a depressed middle-aged bi-sexual who enjoys the quiet but accepts Franck's company. When Michel appears, Franck finally spots a man he'd like to know sexually. Unfortunately, he also spots him drowning his gay lover but opts not to tell anyone in order to consider having a relationship with this handsome yet remorseless killer. —statmanjeff"
Colossal Youth, Colossal Youth (2018) ,7.7,2.7K,"Colossal Youth follows four friends Ryder (Troy Osterberg), Greg (Riker Lynch), Erica (Kimmy Caruso) and Jordan (Reese Everett Ryan) as they navigate life, love and the wild and crazy times of high school. Ryder is a hopeless romantic and when his dream girl obsession Siobhan (Alexa Dowd) returns to school he goes for broke trying to win her heart. His pursuits lead him to rock bottom, but it's there that he realizes his real love has been beside him all along. —R. Scott Leisk"
Story of My Death, Story of My Death (2013) ,6.4,751,"Famous lover Casanova now long past his prime, meets Count Dracula during a journey to Transylvania."
Aurora," Sunrise (1927) aka ""Aurora"" ",8.1,50K,"In this fable-morality subtitled ""A Song of Two Humans"", the ""evil"" temptress is a city woman who bewitches farmer Anses and tries to convince him to murder his neglected wife, Indre. —alfiehitchie"
The Turin Horse, The Turin Horse (2011) ,7.8,17K,"1889. German philosopher Friedrich Nietzsche witnessed the whipping of a horse while traveling in Turin, Italy. He tossed his arms around the horse's neck to protect it then collapsed to the ground. In less than one month, Nietzsche would be diagnosed with a serious mental illness that would make him bed-ridden and speechless for the next eleven years until his death. But whatever did happen to the horse? This film, which is Tarr's last, follows up this question in a fictionalized story of what occurred. The man who whipped the horse is a rural farmer who makes his living taking on carting jobs into the city with his horse-drawn cart. The horse is old and in very poor health, but does its best to obey its master's commands. The farmer and his daughter must come to the understanding that it will be unable to go on sustaining their livelihoods. The dying of the horse is the foundation of this tragic tale. —Anonymous"
Shutter Island, Shutter Island (2010) ,8.2,1.2M,"In 1954, up-and-coming U.S. marshal Teddy Daniels is assigned to investigate the disappearance of a patient from Boston's Shutter Island Ashecliffe Hospital. He's been pushing for an assignment on the island for personal reasons, but before long he thinks he's been brought there as part of a twisted plot by hospital doctors whose radical treatments range from unethical to illegal to downright sinister. Teddy's shrewd investigating skills soon provide a promising lead, but the hospital refuses him access to records he suspects would break the case wide open. As a hurricane cuts off communication with the mainland, more dangerous criminals ""escape"" in the confusion, and the puzzling, improbable clues multiply, Teddy begins to doubt everything - his memory, his partner, even his own sanity. —alfiehitchie"
Saraband, Saraband (2003) (TV Movie) ,7.6,7.7K,"Marianne and Johan meet again after thirty years without contact, when Marianne suddenly feels a need to see her ex-husband again. She decides to visit Johan at his old summer house in the western province of Dalarna. And so, one beautiful autumn day, there she is, beside his reclining chair, waking him with a light kiss. Staying at a cottage on the property are Johan's son Henrik and Henrik's daughter Karin. Henrik is giving his daughter cello lessons and already sees her future as staked out. Relations between father and son are very strained, but both are protective of Karin. They are all still mourning Anna, Henrik's much-loved wife, who died two years ago, yet who, in many ways, remains present among them. Marianne soon realizes that things are not all as they should be, and she finds herself unwillingly drawn into a complicated and upsetting power struggle. —Sujit R. Varma"
The Return," Volver (I) (2006) aka ""The Return"" ",7.6,98K,"Raimunda, her daughter Paula and her sister Sole travel from Madrid to the windy and superstitious village of Alcanfor de las Infantas to visit the grave of their mother Irene, who died years ago in a fire with her husband. Then they visit Irene's sister Paula, an old senile aunt that raised Raimunda after the death of her parents that insists to tell them that Irene is alive and living with her; later, they go to the house of her neighbor and friend Agustina, who gives a support to Paula. They return to Madrid, and after a hard day of work, Raimunda meets her daughter completely distraught at the bus stop waiting for her. When they arrive home, Paula tells her mother that she killed her unemployed father Paco, who was completely drunk and tried to rape her. While Raimunda hides his body, Sole calls her to tell that their beloved aunt Paula has died. The next morning, Sole travels alone to the funeral, and when she returns to Madrid, she finds her mother hidden in the trunk of her car. She brings Irene to her apartment, where secrets from the past are disclosed. —Claudio Carvalho, Rio de Janeiro, Brazil"
Import Export, Import Export (2007) ,7.1,5.8K,"A nurse from Ukraine searches for a better life in the West, while an unemployed security guard from Austria heads East for the same reason."
The Revenant, The Revenant (2015) ,8.0,754K,"While exploring uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him. —Jwelch5742"
Tie Xi Qu: West of the Tracks, Tie Xi Qu: West of the Tracks (2002) ,8.4,1.1K,"The impact of the decline of heavy industry on workers and their families in the Tiexi district of Shenyang, China, at the turn of the 21st century, documented unflinchingly by a fly-on-the-wall camera."
Le filmeur, Le filmeur (2005) ,6.8,146,"This work is the result of a montage of the director's filmed diary, material he has filmed for nearly ten years."
Capitalism: Child Labor, Capitalism: Child Labor (2006) (Short) ,6.4,50,A stereoscopic turn of the century photo showing children on a factory floor is explored via resizing .
Psalm III: 'Night of the Meek', Psalm III: 'Night of the Meek' (2002) (Short) ,7.0,65,"Made in remembrance of Anne Frank, Solomon's fragile and haunting film evokes Kristallnacht (""the night of broken glass"") and Gustav Mahler's Kindertodenlieder (""Songs on the Death of Children"")."
The Fourth Watch, The Fourth Watch (2000) (Short) ,7.1,28,Person is watching a movie over and over again and sometimes certain changes are taking place.
Our Daily Bread," Unser täglich Brot (2005) aka ""Our Daily Bread"" ",7.6,2.6K,"The documentary shows long scenes of food production without any voice-over and practically no dialogue. Chickens: selection, breeding, slaughter, dismemberment. Pigs: insemination, castration, slaughter, dismemberment. Cows: insemination, milking, slaughter, dismemberment. Fish: breeding, slaughter, dismemberment. Fruits and vegetables (tomatoes, peppers, olives, salads, apples, etc.): harvest, selection. Salt: extraction from mines. Workers performing their job, eating, resting. Note: the animal scenes include graphic details. —Teyss"
Ankhon Dekhi, Ankhon Dekhi (2013) ,8.0,11K,"Raje Bauji (Sanjay Mishra) is a man in his late fifties, living out a dreary but eventful life in a small house in old Delhi- where he lives with his extended family. A random incident is going to change his life in a dramatic way- though he does not realize at the moment. Bauji's daughter has been seeing a boy of ill repute. When that fact is revealed to the family, after much deliberation they decide to do the obvious- lock up the girl and go beat the willful boy. It is a funny old journey of this man, this old fool- who is both Lear and the fool. —Wikipedia"
"LSD: Love, Sex Aur Dhokha"," LSD: Love, Sex Aur Dhokha (2010) ",7.1,5.6K,"LSD explores the human emotions of love, sex & betrayal through very candid points of view. Told through the chaos of the camera that has invaded all our lives - through handy cams filming home movies, security cameras shooting every inch of existence, mobile phones transmitting love messages, sting cameras uncovering uncomfortable truths. —Neeraj Joshi"
